,ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
1715,0.634161898,-128.1488264,0.369800794,0.034356306,0.07898226900000001,0.68519,4.124680347,4.805911448,0.8802951999999999,0.835100851,37.72686497,28.4643402,0.932089182,2,2,2,0,5.0
2119,0.291706137,210.8752983,0.767823805,0.027849215,-0.129099939,0.68919,3.84378885,4.831680483,0.7993655590000001,0.764273242,53.98476348,36.97423203,0.0,4,2,2,0,8.38
1985,0.17541879300000002,467.0779585,1.506130524,0.028216467999999998,-0.17578991100000002,0.70139,3.643770586,4.8467910530000005,0.790759872,0.758221273,51.59923038,34.53576578,0.0,5,2,2,0,6.89
1351,0.026517343999999998,550.1549451000001,0.568661356,0.028250399,0.17420321100000002,0.60345,3.551490455,4.011272599,0.714422065,0.672379759,57.44883426,42.04390472,0.5,1,0,0,1,4.47
1988,0.677309842,105.70966029999998,0.800572944,0.029443455,0.02179595,0.69444,3.925834589,4.930836885,0.878199768,0.838200932,35.11265272,26.76112723,0.42171633299999994,3,2,2,0,7.66
1008,0.145119434,1002.576123,0.578925396,0.030767344,0.08982485400000001,0.65789,3.20476169,3.735169088,0.728204912,0.690497162,32.50458594,29.47326836,0.0,2,0,0,0,6.64
2839,0.047627561,-153.58148559999998,0.627807711,0.027127765,0.259426532,0.65476,3.838039817,4.356558335,0.916227426,0.833182138,38.91707317,32.69451622,0.2,1,0,0,0,4.8
55,0.11408036099999999,254.0249385,0.601364904,0.025520721,-0.00302292,0.68519,3.787979742,4.604306273,0.820043493,0.77948054,39.13859036,29.21731633,0.14285714300000002,3,3,3,0,8.24
2855,0.18810522300000002,194.70340330000002,0.7517195190000001,0.028699601,-0.030489939,0.68056,3.9142676830000003,4.695159766000001,0.782526628,0.7416239790000001,52.60505061,39.29595859,0.125,3,2,2,1,8.1
2532,0.002283575,1074.964005,1.029867474,0.02606373,-0.059737145,0.69853,3.575299962,4.830829528,0.811331921,0.7731891120000001,50.01443792,31.05698265,0.0,4,2,2,0,5.96
2072,0.407260865,436.21718219999997,0.7722382109999999,0.028075878999999998,-0.157577948,0.675,3.705525422,4.835438778,0.776301096,0.746701332,58.75857145,38.65247752,0.0,4,3,3,1,7.8
439,0.468248844,633.9652702999999,0.883442255,0.027785063999999998,0.006973261999999999,0.68548,3.965641825,4.947281478,0.855729746,0.803146885,40.84968994,28.47228064,0.0,3,1,1,0,5.92
1613,0.06624200599999999,-426.51962970000005,0.898734206,0.02756443,-0.139055218,0.67857,3.6958775680000002,4.729849318,0.769112815,0.7216088490000001,75.00562032,43.80423827,0.0,4,2,2,1,5.92
1265,-0.236559109,361.80774710000003,0.462034601,0.029944667999999997,-0.027793367000000003,0.6875,3.738005167,4.869245454,0.850089573,0.8130742740000001,38.48694482,28.01459108,0.090909091,4,4,4,0,6.89
1531,-0.183628898,-452.3392796,0.6975497429999999,0.02656013,0.08204398,0.675,3.497415848,4.508628786,0.790926492,0.7355882859999999,56.63360866,34.830878000000006,0.0,3,1,1,1,5.17
2153,-0.45060003299999996,-531.3109877,0.251375655,0.034813946,-0.019096165,0.6118399999999999,3.5625471660000003,4.57162769,0.7409535270000001,0.709555763,73.58341319,45.64919477,0.512992784,0,0,0,3,4.11
296,-0.156698596,-73.15854452,0.721833183,0.029008133999999998,-0.131924777,0.6524399999999999,3.568681409,4.597713298,0.755275789,0.708228179,77.73639113,43.33283195,0.5,3,3,3,1,6.87
1818,0.190926524,1234.391828,0.608519075,0.027506872999999998,-0.345971986,0.66892,3.635615853,4.997183937,0.8208976490000001,0.7904525109999999,52.46443953,33.98806218,0.166666667,2,2,2,0,8.3
1356,0.147498231,-441.48130310000005,1.304185998,0.025543614,-0.133858576,0.66667,3.6182265160000004,4.661084628999999,0.765685927,0.717106945,71.13808783,38.39944151,0.0,3,2,2,1,8.51
2408,1.020072677,574.0834535,0.846678229,0.027039257999999997,-0.13081195699999998,0.6973699999999999,4.011143116,4.9613040669999995,0.8208108159999999,0.7847770479999999,51.22257827,36.62800175,0.0,4,2,2,0,7.09
2371,0.165958968,10.72690774,1.049092748,0.028208472999999998,-0.195471306,0.68919,3.435388713,4.516072135,0.731949275,0.7027522690000001,60.5834921,38.72454963,0.0,4,2,2,0,7.17
117,0.407172971,64.62509798,0.7301987659999999,0.027443697000000003,0.09320294800000001,0.7391300000000001,3.8292399319999997,4.648955904,0.899230821,0.823719767,38.96132189,26.74277466,0.0,3,1,1,0,6.75
343,-0.08187079,471.525406,0.6397413439999999,0.028293206,-0.037048908,0.6413,3.9121560680000003,4.290534447,0.823605501,0.768229768,37.10768392,32.15444852,0.0,2,1,1,0,6.12
1403,-0.033333829,-464.65230210000004,1.0472446640000002,0.026763482,-0.078094096,0.6470600000000001,3.1395133619999998,4.077957829,0.6875971059999999,0.6432262320000001,77.29131312,45.66094828,0.0,2,1,1,1,6.06
1124,-0.020158293,463.0515336,0.868279309,0.0284745,-0.066647795,0.6875,3.533710006,4.3524362619999994,0.779313426,0.722711797,50.01750995,32.60464784,0.0,4,3,3,0,6.17
2539,-0.11885297199999999,1042.713409,0.9814679470000001,0.02652953,-0.079737145,0.69697,3.476240132,4.798571464,0.805914218,0.76802611,50.44613792,30.41625398,0.0,4,2,2,0,6.25
464,0.553707333,119.19154540000001,0.649647116,0.031079285,0.0331798,0.70833,3.824855363,4.646967662,0.856384248,0.807481929,33.35729885,26.327189699999998,0.0,3,2,2,0,6.85
2116,0.642395501,148.1290765,0.724921635,0.029173647,-0.054257253,0.7177399999999999,3.470532313,4.375667746,0.746958338,0.7163215559999999,49.02977877,38.94593102,0.166666667,4,3,3,0,6.96
73,-0.158304425,74.90036090000001,0.568427018,0.031286542,-0.056085569,0.67593,3.6511792439999997,4.471852701,0.796453036,0.760177468,44.16970845,34.63196447,0.0,3,2,2,0,5.42
1685,0.500277027,-218.0985423,0.286531963,0.0341619,0.077967608,0.70652,3.8512050589999998,4.621928095,0.868468723,0.823182003,33.60913475,26.33670093,0.166666667,3,3,3,0,5.99
928,0.20306469600000002,668.9288381,0.96428014,0.026543284,-0.17464581,0.69355,3.734529921,4.932005815,0.849268881,0.7993623609999999,43.42309826,29.13588803,0.0,4,0,0,0,8.35
2482,0.141924401,507.0102589,0.411068734,0.028619218999999998,0.02874752,0.74038,3.273676727,4.007467242,0.7137443170000001,0.682660692,46.77457759,40.10688486,0.0,4,4,4,0,6.4
2564,-0.08846655699999999,616.8525697000001,1.096735343,0.024377567000000003,-0.036251864,0.64655,3.942194836,4.922137842,0.86773074,0.8203563070000001,38.7420525,30.41428517,0.972950627,2,0,0,0,7.7
1581,-0.349041558,-56.82524715,0.921028739,0.027056461,-0.08955383199999999,0.68293,3.618064707,4.455597092,0.737145362,0.6880451670000001,74.74768848,46.13907659,0.0,4,2,2,1,5.31
2525,-0.063084359,721.2292737,0.707774459,0.025718583,-0.36056382299999995,0.67647,3.584685015,4.784368488,0.803528846,0.768102063,51.39447278,32.86429839,0.166666667,3,2,2,0,8.47
1478,-0.190308134,-221.6133151,0.6386241779999999,0.026110796000000002,0.09610314800000001,0.6724100000000001,3.4185794,4.262481278,0.767380159,0.707774983,58.313685,37.64470597,0.0,3,1,1,0,5.75
306,-0.235000763,-304.5586658,0.63245272,0.03021903,-0.030050413999999998,0.65972,3.9145957410000003,4.948394346000001,0.83773252,0.7872836409999999,57.13853134,34.8546124,0.5,3,3,3,0,5.57
2382,0.28507461300000003,524.6796568,0.832299393,0.02778258,-0.185597994,0.67647,3.5919426039999998,4.907480033,0.806161805,0.774068792,48.40942849,31.91584113,0.0,4,2,2,0,8.35
778,-0.266467484,512.2319045,0.99228099,0.026071726,-0.158092136,0.69697,3.6492553969999997,4.948394346000001,0.83773252,0.796913038,49.05114746,30.220106899999998,0.1,4,3,3,0,7.81
1945,0.5032890870000001,187.452,0.9360529120000001,0.028575295,-0.037772444,0.7,3.578728317,4.56610894,0.78626311,0.752726971,45.45331123,33.08441872,0.166666667,4,3,3,0,6.81
1431,0.08460354699999999,-315.8180247,0.886993936,0.027292662999999998,0.165369139,0.63636,2.9942513739999996,3.8525035610000002,0.682601298,0.629602985,78.14435758,51.31559704,0.0,1,0,0,1,4.4
1925,0.19151893399999997,222.9128827,0.807107515,0.027676488,-0.126032295,0.69595,3.9462502280000002,5.021910128,0.830837637,0.7966505070000001,49.82865329,35.70949391,0.0,4,2,2,0,8.3
2759,0.334890512,401.3451684,0.722275995,0.027103285,-0.121983773,0.69231,4.0228371780000005,4.98618893,0.9079246740000001,0.854840211,33.80453307,24.88834681,0.0,3,1,1,0,5.95
2295,0.792055396,288.980749,0.7930156829999999,0.028293152000000002,-0.16820417699999998,0.7,3.8170465780000002,4.687054328,0.784145027,0.747919894,51.69962609,35.44430427,0.0,4,2,2,0,8.12
562,0.220520663,261.7098123,0.47214987,0.029095051,-0.01511749,0.65,4.143155551,4.817052925,0.8823359759999999,0.82057132,49.60864104,36.83825995,0.550321208,1,1,1,0,6.28
2198,0.564455557,-214.34580499999998,0.989251792,0.029143042999999997,-0.151239036,0.69828,3.843354621,5.0415039010000005,0.884406142,0.843444504,37.8777787,26.03063025,0.166666667,3,2,2,0,7.92
1584,0.272125307,220.68733799999998,1.079171133,0.027072588999999998,-0.135501069,0.67857,3.926664105,4.927092453,0.79856602,0.7490909570000001,62.55285393,40.38132523,0.5,5,2,2,1,5.17
2483,0.403594712,405.78086160000004,0.37704804299999994,0.028369057000000003,0.066761582,0.74138,3.5176713239999997,4.007467242,0.7137443170000001,0.682660692,51.80247215,46.02814626,0.0,4,4,4,0,5.62
2179,0.763310156,-20.88234842,0.96723414,0.028035557000000003,-0.19954778399999998,0.70833,3.575652631,4.684773283,0.766923881,0.7328755709999999,56.440128,34.90356937,0.0,5,3,3,0,7.21
574,-0.074287463,199.6804903,0.688955268,0.02656269,-0.013786848,0.70536,3.934571001,4.749439337,0.8598508309999999,0.8008176840000001,42.32711742,29.31628577,0.0,4,3,3,0,6.84
2537,-0.160885315,375.7509072,1.016337251,0.02671741,-0.105247349,0.7,3.444926128,4.83016737,0.799115225,0.761874077,53.96412461,32.11655832,0.0,5,3,3,0,6.4
2238,0.05403127,17.971343899999997,0.677260505,0.029473576,-0.130875202,0.6875,3.910699507,4.93785225,0.8261035640000001,0.792742973,54.81784374,38.96186632,0.0,4,3,3,0,8.55
2627,-0.193519411,363.6875992,0.806494952,0.026447142000000003,-0.081026839,0.75735,3.336224984,3.8148464389999996,0.648491912,0.621355897,64.84270914,59.23555069,0.0,6,6,6,1,6.45
2792,-0.178861425,62.78562336,1.032034517,0.031239568,-0.20160797,0.6451600000000001,3.757033162,4.967634486000001,0.8592501990000001,0.8064510140000001,50.48565227,28.84470189,0.0,3,1,1,0,8.4
2841,0.055594207,81.93347085,0.8526660770000001,0.025010952000000003,0.018671453,0.65741,3.674142438,4.534219021,0.820886786,0.777353766,46.77303289,32.53424834,1.0749484040000001,2,0,0,0,6.22
2649,-0.101867419,110.35169520000001,0.551455124,0.029405817999999997,0.075939432,0.66667,4.132449468,4.889199419,0.890264057,0.824383064,42.02507323,31.93430171,0.512992784,3,3,3,0,6.85
1830,0.035585503,631.3551566000001,0.739027579,0.027865473999999998,0.094679233,0.6875,3.8204898089999997,4.832923346,0.9020767959999999,0.834065669,37.40049687,24.6267361,0.0,4,2,2,0,4.96
2657,-0.172197748,532.1075869,0.527351644,0.027176607000000002,-0.008526839,0.725,3.4861112430000003,4.481181986,0.775108661,0.745468736,47.97543708,37.36007452,0.0,4,4,4,0,6.44
2452,0.486463055,-121.20595700000001,0.214076175,0.034588653999999996,0.011322553999999999,0.60714,3.4029905439999997,3.982289237,0.770279885,0.725126686,44.22798746,32.01144689,0.721124785,0,0,0,0,4.6
1909,0.43696545200000003,67.17780335,0.737310395,0.03046303,-0.032771951,0.68269,3.759761658,4.777569011000001,0.8554343940000001,0.8155658090000001,36.68439788,28.38239401,0.0,3,2,2,0,8.1
2552,0.19965656699999998,738.2908042,1.147193581,0.025249615,-0.06310371599999999,0.64423,3.508721081,4.608909589,0.82086336,0.780259853,37.967633899999996,28.65286334,0.090909091,2,0,0,0,8.2
2678,0.773674173,185.3971664,0.8798480320000001,0.028355558,-0.12347680800000001,0.67361,3.965541637,5.077449922,0.83702197,0.7997585970000001,45.67182681,32.36770207,0.0,4,2,2,0,4.32
2180,0.502660224,219.33801719999997,0.781067023,0.028008037000000003,-0.13081868900000002,0.69079,3.804553692,4.714905235,0.777256167,0.7436935,56.07409537,39.53588757,0.0,4,2,2,0,9.0
71,0.043819307,-178.09231,0.537972121,0.035091203,0.22558142,0.59722,2.9009159089999996,3.728502116,0.76750035,0.69593391,42.63713789,27.65626524,0.0,1,0,0,0,4.89
517,-0.20116537199999998,652.1916282999999,0.761768324,0.026458176,-0.10469868,0.74265,3.731835123,4.643983304,0.7861976159999999,0.74672093,52.07218259,37.83047871,0.5,5,4,4,1,8.28
2516,0.581058019,510.13491009999996,0.8516528459999999,0.027798936,-0.06608431599999999,0.6642899999999999,4.149466629,5.316941875,0.892973896,0.8459191140000001,41.58673493,29.483694,0.0,4,2,2,0,8.6
2414,-0.131263166,383.15434680000004,0.744727878,0.028937444,-0.112012604,0.7094600000000001,4.057288231999999,5.199140505,0.863305043,0.82476544,48.10445719,33.95753767,0.0,5,3,3,0,6.92
1861,0.30251833100000003,-65.01641166,1.0150720579999999,0.028245799999999998,-0.16907041,0.68293,3.457315093,4.535026257,0.721517271,0.695176391,67.04565581,43.17583372,0.0,4,3,3,1,7.55
1774,0.40574068399999996,-72.05146364,0.398558465,0.033367115,0.06423054,0.68,4.059599126,4.707677244,0.873034147,0.829923174,38.23644808,30.954565999999996,0.46415888299999997,2,2,2,0,7.66
2248,0.151109976,456.4558756,0.767823805,0.027849215,-0.12234067900000001,0.7027,3.798235618,4.7899397630000005,0.792459868,0.759851898,53.68739820000001,37.36819721,0.0,4,2,2,0,8.21
1751,0.428125497,-283.1430552,0.40438309299999997,0.034811001,-0.173877872,0.69355,3.538862861,4.594739663,0.777860972,0.74963738,47.83793783,32.63588067,0.166666667,3,2,2,0,7.64
2686,0.220067442,894.2737991,0.579355518,0.026288579,-0.023856223,0.63393,3.5700865,4.655282146,0.8206863670000001,0.7849415479999999,46.43979268,31.59319807,0.892745163,1,0,0,0,5.7
2048,0.916379389,447.37057120000003,0.7000694270000001,0.02810593,-0.118012566,0.6776300000000001,4.000367174,5.013645929,0.823601895,0.790814598,50.08527775,36.05920802,0.0,3,2,2,0,8.6
832,0.08527569,636.3367118,0.610727519,0.027392052000000004,-0.19200681,0.69697,3.3782010089999996,4.733530313,0.7859915670000001,0.75309903,53.50934642,32.82590082,0.0,4,4,4,0,6.52
261,-1.783094984,-1568.664175,0.142258898,0.035494594,-0.23283540100000003,0.62338,3.401683261,4.940888568,0.6676083039999999,0.658101188,130.3316407,77.31134158,3.476940823,0,0,0,3,6.8
236,-0.172041412,585.8141893999999,0.8070508609999999,0.026792063999999997,-0.259023116,0.69286,4.420257826,5.222179941,0.903278848,0.857858204,42.50768118,34.30954244,0.0,3,1,1,0,7.48
977,0.398154044,46.85307339,0.6200408310000001,0.030692335,-0.116270784,0.65625,3.8453137969999998,4.646291529,0.800070185,0.7619329429999999,48.46010317,37.01321369,0.0,3,2,2,0,6.96
769,0.019567196000000002,576.4734607999999,0.6168910479999999,0.030394411,-0.044145557,0.67969,3.769010461,4.790664608999999,0.8045862709999999,0.7715114890000001,46.28572596,33.21244949,0.0,3,2,2,0,7.02
2820,-0.157161686,-94.94332967,0.600960585,0.035170078,-0.17305087100000002,0.625,3.61928545,4.74528392,0.836552909,0.786499458,50.83880133,29.77005326,0.0,2,1,1,0,5.4
17,0.087490551,850.2465252000001,0.7081385720000001,0.028197519,-0.215513994,0.65541,3.76891412,4.9254598839999995,0.824030319,0.775818363,61.98048344,35.65509353,0.0,3,3,3,0,7.11
1908,0.5211801189999999,-209.0498821,0.58863136,0.027645845,0.045396825,0.68966,4.076506775,4.710491775,0.857723557,0.7958439970000001,43.92559525,33.10094651,0.166666667,3,2,2,0,7.29
2745,-0.322555853,-34.83033504,0.711495975,0.029522396,0.08526806699999999,0.625,3.8348245660000004,4.772569969,0.859212103,0.8015472990000001,49.86671124,33.74641303,0.0,3,1,1,1,5.22
760,-0.043648964000000005,185.84096340000002,0.6168910479999999,0.029150556,-0.029708255,0.67857,3.902216029,4.802532637,0.846645367,0.8034645690000001,40.71585369,30.85397933,0.0,3,2,2,0,5.34
152,0.103282722,1105.726325,0.691489065,0.028275197000000002,-0.102057469,0.65909,3.6227153810000003,4.83430822,0.7969398520000001,0.765784548,46.507096000000004,31.26630602,0.0,3,2,2,0,7.66
789,-0.229704105,557.9014739,1.204372935,0.02511115,-0.11961523199999999,0.7,3.9273755969999997,5.121567004,0.867049579,0.814835205,49.05305649,30.67436239,0.5,5,3,3,0,7.55
1694,0.54648497,217.3213469,0.398558465,0.033367115,0.049177099,0.67,3.623633798,4.57023433,0.82278535,0.7869734829999999,37.30714667,27.98022859,0.166666667,2,2,2,0,5.83
187,0.13554002199999998,503.20160880000003,0.939203718,0.026878968,-0.24361693399999998,0.6875,3.81111916,4.843927583,0.823427079,0.783818583,44.41812774,30.18779513,0.0,4,3,3,0,8.03
1222,-0.038392248999999996,-92.14048349,0.758459538,0.027594717999999997,0.143248654,0.7125,3.458267868,4.3518232260000005,0.905242757,0.799534889,38.73755813,26.53520265,0.0,4,2,2,0,7.83
1423,0.030182256,-243.67804249999998,0.876180893,0.027216052999999997,0.16889942800000002,0.625,2.8584916610000004,3.667090492,0.656600737,0.603455944,79.20312053,53.89760049,0.0,1,0,0,1,4.92
1664,0.189187032,439.0520062,0.591214669,0.02693317,-0.070179148,0.725,3.500938295,4.5490972130000005,0.786855937,0.747289525,50.342549,34.13153703,0.0,5,5,5,0,6.53
1711,0.6427559039999999,189.2443381,0.404041711,0.033436713,0.08496027800000001,0.69444,3.961617455,4.763966707,0.867460696,0.8278123079999999,37.32510541,29.810817600000004,0.166666667,2,2,2,0,7.3
1610,-0.031120519,-346.8287527,0.898734206,0.027825299999999997,-0.143677275,0.67442,3.702401755,4.722185036,0.7604832109999999,0.71549203,75.38282711,45.32254674,0.0,4,2,2,1,6.04
2203,0.07571040700000001,175.4491856,0.903684067,0.027781492999999997,-0.151357027,0.68023,3.7462331860000004,4.706407898,0.755585952,0.720583835,67.63005608,44.3347102,0.0,4,2,2,1,7.12
850,0.057269271,-570.9551663,0.32207203,0.039571291,-0.398240625,0.57927,1.995743669,3.22681625,0.47865194,0.476762466,102.1222724,87.08630951,0.721124785,0,0,0,2,5.16
869,0.051861357999999996,184.7788179,0.698871165,0.025937939,-0.15503962599999999,0.6691199999999999,3.9173196139999997,4.967481796,0.840963907,0.796274369,48.77688697,30.61440363,0.1,3,3,3,0,6.94
57,0.040992,254.42627599999997,0.576957136,0.025901122999999998,-0.14902612099999998,0.68333,3.772563192,4.780394654,0.8231621309999999,0.7880521540000001,41.52071504,29.82785183,0.1,3,3,3,0,8.24
2400,0.007948065,222.9128827,0.8411282059999999,0.028341545,-0.156325662,0.69595,3.9462502280000002,5.021910128,0.830837637,0.7966505070000001,49.82865329,35.70949391,0.0,4,2,2,0,8.15
1128,0.498924291,97.71689276,0.540518837,0.027004023999999998,-0.064047619,0.65,3.920674224,4.644910394,0.83622938,0.774151732,50.15006656,34.06240878,0.0,2,2,2,0,8.55
1208,0.20378702699999998,3.839501274,0.292643595,0.030899013,-0.01287916,0.6724100000000001,3.6987241969999998,4.70619879,0.8177742459999999,0.7800213559999999,43.95693999,32.21542775,0.454280148,2,2,2,0,5.9
44,0.023606265,-10.477182199999998,0.610328023,0.028236003,0.20463955,0.61538,3.5077174689999997,4.070950594,0.764939045,0.70904363,55.10822735,39.13572798,0.5,1,0,0,1,4.32
174,-0.136789313,8.91257242,0.6869638790000001,0.029624438,0.012063428000000001,0.6451600000000001,3.996648374,4.719522263,0.8593679,0.7910983770000001,55.70911369,36.84114075,0.430674364,2,1,1,0,7.92
62,0.38203311799999995,324.4173719,0.387188697,0.032870165,0.107853239,0.67857,3.887584813,4.478493904,0.8203223740000001,0.766145159,47.47530516,33.8370709,0.595275394,2,1,1,0,4.3
235,-0.34230370299999996,566.3444507999999,0.8070508609999999,0.026792063999999997,-0.247618795,0.69286,4.406532598,5.208454713,0.9009047990000001,0.8556035329999999,41.43367898,33.23554025,0.0,3,1,1,0,7.43
658,0.146494188,-90.86776064,0.924046472,0.028677603,-0.070601978,0.70714,3.413896013,4.371329862,0.720617473,0.6856945609999999,63.11754872,43.76841158,0.0,3,2,2,1,6.4
2635,-0.299717629,64.22285947,0.47748616,0.030147381,0.068051467,0.66379,3.9354286519999997,4.741310041,0.8633351909999999,0.799446978,44.21820809,32.96074077,0.512992784,3,3,3,0,7.0
2127,-0.11885297199999999,1042.713409,0.9814679470000001,0.02652953,-0.079737145,0.69697,3.476240132,4.798571464,0.805914218,0.76802611,50.44613792,30.41625398,0.0,4,2,2,0,6.58
2808,-0.272319545,-303.5168441,1.264258264,0.02652311,-0.039477752000000005,0.7058800000000001,4.042136489,5.024109823,0.857652121,0.8078426890000001,45.85645727,30.02924906,0.0,5,2,2,0,7.66
2257,0.44739379799999995,231.8668416,0.92795043,0.028365805,-0.177895605,0.70714,3.838395435,4.814038455,0.805389494,0.759330024,49.59280341,32.85411256,0.0,5,2,2,0,6.98
877,0.124297885,266.632165,0.552549367,0.025618406,-0.03089624,0.68519,3.979747927,4.864610099,0.86640454,0.8252350279999999,35.62470552,27.41923169,0.111111111,3,2,2,0,7.59
2393,0.12030995300000001,454.52869060000006,0.815087714,0.02868134,-0.19232347600000002,0.67857,3.452414171,4.807715957,0.7817745779999999,0.7521084509999999,52.80045223,33.29630833,0.0,4,2,2,0,8.18
2204,0.533908136,-248.91056600000002,0.7942531279999999,0.028731857000000003,-0.009159108000000001,0.67742,3.638553854,4.492380568,0.777045676,0.735428105,52.54801919,38.64391016,0.166666667,3,2,2,0,8.3
340,0.261766163,511.7061671,0.740696375,0.027762585,-0.035516077,0.69828,3.7963002610000003,4.90346519,0.8688146940000001,0.830126292,41.55868959,31.53442336,0.0,3,2,2,0,6.72
1406,0.017245984,-442.60976189999997,0.585920255,0.028811489,0.089638679,0.60345,3.712185597,4.408687771,0.798160282,0.747892123,58.55585743,41.81120915,0.5,1,0,0,1,4.42
1157,0.316513349,245.1335838,0.7018853279999999,0.025672491000000002,-0.310008267,0.67647,3.81182838,4.825617151,0.8203144590000001,0.782119256,49.0661724,34.14232569,0.166666667,3,2,2,0,8.7
1173,0.32433594600000004,588.0045639,0.660235945,0.025644472999999997,-0.360131724,0.67105,3.761953399,5.0198372760000005,0.8217757509999999,0.7895865059999999,52.83312839,34.92049582,0.42171633299999994,3,3,3,0,7.92
205,0.297926953,851.5776088,0.7706491040000001,0.025579344,-0.378764931,0.6691199999999999,3.6126465110000003,4.766446791,0.7802942959999999,0.755034875,47.71526867,32.33819962,0.076923077,3,2,2,0,8.36
1803,-0.17909942899999998,138.875613,0.892193958,0.032032339,-0.19402888,0.64167,3.726906345,4.921224464,0.859164247,0.801560925,50.23214239,28.59921134,0.0,3,1,1,0,9.8
1789,-0.151280469,-94.93825129999999,0.795394905,0.032884504,-0.18168320100000002,0.64655,3.61617463,4.82875844,0.855577867,0.7946198729999999,51.58758021,28.73510663,0.0,3,1,1,0,8.82
1148,0.20090196899999999,1064.479502,0.537618901,0.026717387000000002,-0.316181107,0.65909,3.744539283,4.9696030669999995,0.837940172,0.802866547,45.56235666,30.02115965,0.166666667,2,2,2,0,7.31
2242,0.353529882,120.5024621,0.807107515,0.027378346,-0.12659320699999999,0.6875,3.999038805,4.981580623,0.833419329,0.7949178720000001,49.65501655,35.59206935,0.0,4,2,2,0,7.13
2307,0.667693285,150.2355131,0.767358178,0.029208332000000004,0.026692643999999998,0.7,3.965021337,5.01755943,0.880205682,0.84269298,38.34611952,29.55775904,0.166666667,3,2,2,0,8.1
204,0.023787779,486.55986730000006,0.7275915959999999,0.027051454,-0.215856767,0.69167,3.728533226,4.700796593,0.805912092,0.7735624879999999,43.05903199,30.85366904,0.083333333,3,2,2,0,6.85
1622,-0.09004136800000001,-8.248125303,0.780883076,0.026958987,-0.077513847,0.68182,3.58679461,4.490872854,0.784031987,0.724372613,60.84381812,36.34022685,0.0,4,1,1,1,5.68
1116,0.049701599000000006,362.35011210000005,0.430934033,0.032556413,-0.061851273,0.65741,3.266774402,3.985902344,0.71368471,0.666842175,52.71029667,38.10745704,0.0,2,2,2,0,5.92
380,-0.07181698,-267.26709159999996,0.7531193070000001,0.027244187000000003,-0.005863213000000001,0.63393,3.5471804689999997,4.235087761,0.758301915,0.70853094,51.24486145,36.02694271,0.0,2,2,2,1,5.79
2215,0.28923183199999997,121.30302350000001,0.903684067,0.027974386,-0.16160629999999998,0.67614,3.700699495,4.7386688480000005,0.753916565,0.7204439559999999,69.69884322,43.60761941,0.0,4,3,3,1,7.07
2495,-0.249898555,432.95057239999994,0.357119184,0.028705566000000002,0.059840992,0.73438,3.579600275,4.245447223999999,0.737711593,0.70625299,52.67656495,45.85786993,0.0,4,4,4,0,6.68
2518,-0.033591578999999996,507.0102589,0.411068734,0.029344476,0.037914187,0.74038,3.273676727,4.007467242,0.7137443170000001,0.682660692,46.77457759,40.10688486,0.0,4,4,4,0,5.79
1142,0.05700545,864.5493023,0.537618901,0.027332872999999997,-0.298835428,0.66667,3.820428142,4.812650125,0.8215544109999999,0.7851897379999999,46.57608889,34.11746066,0.166666667,2,2,2,0,7.77
2505,0.106260335,891.8330394999999,1.309036574,0.025895337999999997,-0.08584458699999999,0.67742,3.8062835230000003,4.537657386,0.7848771929999999,0.7378608090000001,45.05529808,34.36671304,0.0,3,1,1,0,7.7
238,0.055784956,552.1596594,0.42702913299999995,0.030592667999999996,-0.068480686,0.675,3.699594445,3.9853087310000004,0.776971892,0.7344478959999999,33.72018252,29.26542434,0.0,2,1,1,0,4.35
211,0.007286406,251.8026179,0.664791963,0.027351236,-0.22061608600000002,0.67424,4.223271566,5.032076497,0.882752339,0.8402640579999999,44.69182234,37.11904629,0.0,2,1,1,0,5.75
10,0.06408034,836.6301599,0.666471905,0.028923723,-0.196609673,0.65625,3.8340617989999997,4.968340331,0.8219749129999999,0.776196518,65.47857531,38.96567909,0.0,3,3,3,0,6.05
47,0.153681299,377.5507543,0.525464479,0.025824285,-0.0010012760000000002,0.65741,3.690140856,4.740861126,0.835773208,0.796221837,40.11345217,27.39604466,0.14285714300000002,2,2,2,0,7.82
402,-0.052925457999999995,-276.3221711,0.307871044,0.04017767,-0.133933414,0.61111,3.525507123,4.625833863,0.832795007,0.7799761820000001,48.14799622,29.37906945,0.0,2,2,2,0,6.5
126,0.630336111,125.7884196,0.791213125,0.025934943999999998,0.150147392,0.74,4.072431251,4.683542362,0.905920755,0.829847928,39.74110453,30.2564757,0.0,3,1,1,0,7.35
412,0.061939219000000004,641.5070607999999,0.44551128,0.025800722,0.058852040999999994,0.67391,3.8300438189999997,4.576492125,0.848705995,0.804799385,31.35110126,26.25792545,0.0,3,2,2,0,5.65
506,-0.10873856400000001,-313.5539207,0.576904324,0.0359476,-0.143037368,0.65741,3.521721617,4.6338899080000004,0.82970833,0.778256152,49.55852189,30.08578821,0.0,3,2,2,0,5.67
1373,-0.15318326599999998,551.2032504,0.6889308259999999,0.029748279,-0.33845075,0.70455,3.443351753,5.085479297,0.847579883,0.816443623,45.58969517,29.20864648,0.0,5,4,4,0,6.84
